Metric,Mean,Median,StdDev
Pipeline Latency (ms),147.02867663999425,118.39700050002757,179.72793408169417
alm_situation_quality,4.48,4.0,0.4995998398718719
alm_human_plausibility,4.58,5.0,0.4935585071701226
alm_explainability,4.52,5.0,0.4995998398718719
alm_completeness,4.42,4.0,0.4935585071701226
alm_uncertainty,4.52,5.0,0.49959983987187184
alm_naturalness,4.56,5.0,0.4963869458396343
baseline_situation_quality,3.08,3.0,0.7959899496852959
baseline_human_plausibility,2.08,2.0,0.7959899496852959
